basis_set,n_reactions,n_converged,convergence_rate
"6-31G(d) (C, H, O)",41,24,0.5854
"6-31G(d,p) (C, H)",41,24,0.5854
6-31G(d)-SDD,41,2,0.0488
"6-31+G**, def2-TZVP",41,35,0.8537
SDD for Rh,41,3,0.0732
TZV,41,22,0.5366
L1,41,0,0.0000
SDD(Ir),41,20,0.4878
VTZ-F12,41,0,0.0000
"LANL2DZ, 6-31G*",40,33,0.8250
SARC-ZORA-TZVPP,40,8,0.2000
"LanL2DZ for Ir, 6-31G(d,p)",40,39,0.9750
cc-pVTZ-F12,40,0,0.0000
"6-31G(d), LANL2DZ (Pd)",40,38,0.9500
"6-31G(d,p), lanl2dz",40,0,0.0000
"SDD for Pd, I",40,35,0.8750
"6-311+G(d,p) for other atoms",40,35,0.8750
RECP from the Stuttgart group,40,0,0.0000
SDD(ECP),40,5,0.1250
"def2sv, def2tzvpp",39,0,0.0000
DZ,39,9,0.2308
def2-TZVP(SDD),39,0,0.0000
6-31G** (LANL2DZ for Au),39,0,0.0000
Lanl2dz(Ir),39,20,0.5128
ECP2,39,0,0.0000
"6-31G(d,p)(C,H)/LANL2DZ(Ta)",39,15,0.3846
"6-31++G(d,p)/SDD(Ta)",39,15,0.3846
PPh3,39,36,0.9231
def2-TZVPPecp,38,0,0.0000
def2-TZVPecp,38,0,0.0000
"SDD, 6-31G(d), 6-311++G(d,p)",38,0,0.0000
6-31+G(d)-SDD,38,37,0.9737
"6-311++G(3d,2p)",38,0,0.0000
"6-31G(D), TZVP",38,37,0.9737
Stuttgart-Dresden pseudopotential with adapted basis set,38,12,0.3158
"6-311+G(3d,p)",37,0,0.0000
6-311G**++,37,0,0.0000
3-21G-SDD,37,0,0.0000
"D95(d,p)",37,0,0.0000
Stuttgart basis set,37,0,0.0000
"TZVP, SV(P)",37,0,0.0000
GBS(2),37,0,0.0000
GBS(1),37,0,0.0000
Def2-TZVP(d),37,0,0.0000
"6-311++G(3df, 2pd)",37,0,0.0000
"6-31G(2df,p)",36,0,0.0000
SDDAll,36,1,0.0278
def2-mTZVPP/J,36,12,0.3333
LANL2DZ for Ir,36,14,0.3889
"LANL2DZ(Pd, Ag, I)",36,0,0.0000
