doi,n_leaves_parsed,n_xyz_total,elements
10.1002/adsc.202401573,1,13,Al Ar B Be C Ca Cl F H He K Li Mg N Na Ne O P S Si
10.1002/adsc.202401585,1,1,C H N O S
10.1002/adsc.202500021,1,4,C Co H N O P
10.1002/adsc.202500121,1,134,C H
10.1002/adsc.202500166,1,13,C H N O
10.1002/adsc.202500196,1,2,C H N O S
10.1002/ange.201006312,1,1,C H
10.1002/anie.200352326,1,3,Al Ar As B Be C Ca Cl Co Cr Cu F Fe Ga Ge H He K Li Mg Mn N Na Ne Ni O P S Sc Si Ti V Zn
10.1002/anie.200461825,1,2,C H S
10.1002/anie.200504222,1,13,C H N
10.1002/anie.200504337,1,2,C Ge H N
10.1002/anie.200601853,1,1,Au
10.1002/anie.200602280,1,1,C H U
10.1002/anie.200603347,1,18,C H Li N O
10.1002/anie.200603389,1,11,Au Ge
10.1002/anie.200604357,1,36,C H O P Rh
10.1002/anie.200605173,1,12,H
10.1002/anie.200701248,1,3,He
10.1002/anie.200702528,1,5,C H N Ni O
10.1002/anie.200703069,1,2,H P Rh
10.1002/anie.200703079,1,1,Al C H N P Ti
10.1002/anie.200704887,1,2,C H La Si
10.1002/anie.200704939,1,10,C H N Si
10.1002/anie.200705880,1,10,C H N O Ru
10.1002/anie.200802234,1,5,C H N Ni O
10.1002/anie.200804482,1,12,C H Os Ru
10.1002/anie.200805193,1,18,C Fe H
10.1002/anie.200805605,1,15,C H
10.1002/anie.200805718,1,1,C Ga H K
10.1002/anie.200806394,1,1,Au C H N
10.1002/anie.200901494,1,31,C H Ir N
10.1002/anie.200903908,1,19,C H N O S
10.1002/anie.200905507,1,36,Cl O V
10.1002/anie.201000608,1,19,C H
10.1002/anie.201000819,1,20,C H Mn N O
10.1002/anie.201001070,1,32,B C H O P Rh
10.1002/anie.201001311,1,5,C H
10.1002/anie.201001555,1,7,B C H
10.1002/anie.201002296,1,4,C Cl H N P Ru
10.1002/anie.201002885,1,2,C Cl H O P W
10.1002/anie.201005734,1,6,C H
10.1002/anie.201005903,1,12,C H N Si
10.1002/anie.201007844,1,33,C H N O P
10.1002/anie.201101179,1,6,Au C H O P
10.1002/anie.201101746,1,69,C H P Pd
10.1002/anie.201101941,1,8,C H
10.1002/anie.201102593,1,4,B Br C H P Pt
10.1002/anie.201103226,1,8,B Br C H P Pt
10.1002/anie.201103882,1,8,C H N P Pd
10.1002/anie.201104026,1,2,B C H N P Rh Si
10.1002/anie.201105516,1,35,C H N
10.1002/anie.201105722,1,5,C H N Ni O Si
10.1002/anie.201106915,1,11,C Cl H P Ru
10.1002/anie.201108502,1,29,C H I
10.1002/anie.201109042,1,15,C H N O
10.1002/anie.201200070,1,38,C H
10.1002/anie.201200328,1,1,Al C F H
10.1002/anie.201200728,1,1,N
10.1002/anie.201201244,1,3,C H N O P Pd
10.1002/anie.201201673,1,9,B Br C H
10.1002/anie.201201806,1,32,C Fe H P Pd
